Opcode, Rnd, Operand A, Operand B, Operand C, Result
ADD, RND_NEAREST, 0x00820000, 0x00700000, 0x00000000, 0x00820000
ADD, RND_NEAREST, 0x33800003, 0x00840000, 0xbf7effff, 0xbf7efffe
ADD, RND_PLUS_INF, 0xff7fffef, 0x40ffdfff, 0xfffff7ff, 0x7fffffff
ADD, RND_PLUS_INF, 0x3fc00000, 0x8000001f, 0x7e83ffff, 0x7e840000
ADD, RND_PLUS_INF, 0xc0ff8000, 0xbfdfffff, 0xb3fffe00, 0xc0ff8000
ADD, RND_PLUS_INF, 0x00dfffff, 0x40f00000, 0xbefffeff, 0xbefffefe
ADD, RND_ZERO, 0xfefbffff, 0x7ffc0000, 0x7fffff7f, 0x7fffffff
ADD, RND_ZERO, 0xc07ffe00, 0xc0700000, 0xffffffc0, 0x7fffffff
ADD, RND_NEAREST, 0x7f7f0000, 0x80f00000, 0xc0fffff8, 0x7f7f0000
ADD, RND_NEAREST, 0xbf000004, 0x407ffffe, 0xb3800200, 0xbf000005
ADD, RND_MINUS_INF, 0x4b8fffff, 0xc0700000, 0x807fffc0, 0x4b8ffffe
ADD, RND_MINUS_INF, 0xbf7fff00, 0x7f000001, 0xc0800200, 0xc0a001e0
ADD, RND_NEAREST, 0xb3ffbfff, 0xcb800003, 0x00700000, 0xb3ffbfff
ADD, RND_NEAREST, 0x4b900000, 0x80800002, 0x4b80003f, 0x4c080020
ADD, RND_ZERO, 0xbe800100, 0x3fefffff, 0x4bfffc00, 0x4bfffbff
ADD, RND_ZERO, 0x3effffdf, 0x7e810000, 0x80e00000, 0x3effffde
ADD, RND_NEAREST, 0x3f801000, 0xcb8fffff, 0xb3800040, 0x3f800fff
ADD, RND_NEAREST, 0x40000080, 0x3efffe00, 0x7f810000, 0x7fffffff
ADD, RND_ZERO, 0xff400000, 0x80780000, 0xbf77ffff, 0xff400000
ADD, RND_ZERO, 0x40801fff, 0x4b800040, 0x800000ff, 0x40801ffe
ADD, RND_PLUS_INF, 0x4bfffeff, 0xbef00000, 0x407fefff, 0x4bffff01
ADD, RND_PLUS_INF, 0x7f000100, 0xff8003ff, 0xfefffffe, 0x77808000
ADD, RND_PLUS_INF, 0xc0c00000, 0xc07fff80, 0xbf000001, 0xc0d00000
ADD, RND_PLUS_INF, 0x00800800, 0x7ffff800, 0x807fffdf, 0x00000821
ADD, RND_PLUS_INF, 0xfe800003, 0x3ffffc00, 0x807ffeff, 0xfe800003
ADD, RND_PLUS_INF, 0xff7ffeff, 0x7f000100, 0xcbfff800, 0xff7ffeff
ADD, RND_ZERO, 0xbf7f0000, 0x7f7fffdf, 0x80400000, 0xbf7f0000
ADD, RND_ZERO, 0xff880000, 0x7fffff7f, 0x80fffffd, 0x7fffffff
ADD, RND_PLUS_INF, 0x3383ffff, 0x3f7fff80, 0x3f000000, 0x3f000002
ADD, RND_PLUS_INF, 0x7e800fff, 0x00000040, 0x407f7fff, 0x7e801000
ADD, RND_NEAREST, 0xfeff8000, 0xbfffff7f, 0xc0ff0000, 0xfeff8000
ADD, RND_NEAREST, 0x4000007f, 0xc0800400, 0xb380003f, 0x4000007f
ADD, RND_PLUS_INF, 0xbf800007, 0xc07f7fff, 0x3f07ffff, 0xbef0001e
ADD, RND_PLUS_INF, 0xb387ffff, 0xbffffff7, 0x80004000, 0xb387ffff
ADD, RND_NEAREST, 0x80ffffc0, 0x40ff8000, 0xbff00000, 0xbff00000
ADD, RND_NEAREST, 0x80000fff, 0xb3bfffff, 0xc0ffffe0, 0xc0ffffe0
ADD, RND_ZERO, 0x33efffff, 0xbf03ffff, 0x40804000, 0x40804000
ADD, RND_ZERO, 0xc07fff7f, 0x007ffffd, 0xb3880000, 0xc07fff7f
ADD, RND_PLUS_INF, 0xbef80000, 0x80800001, 0xcbffff7f, 0xcbffff7f
ADD, RND_PLUS_INF, 0xbf7ffeff, 0x3ef80000, 0x7f600000, 0x7f600000
ADD, RND_ZERO, 0x80780000, 0x7ff7ffff, 0x3f001000, 0x3f000fff
ADD, RND_ZERO, 0x807bffff, 0xcbfffffc, 0x807ffff7, 0x80fbfff6
ADD, RND_MINUS_INF, 0x00ffc000, 0xbf0007ff, 0xffbfffff, 0x7fffffff
ADD, RND_MINUS_INF, 0xbefe0000, 0x80900000, 0xc0000100, 0xc01fc100
ADD, RND_ZERO, 0xc0000001, 0x3e801000, 0x00ffffef, 0xc0000000
ADD, RND_ZERO, 0xff800007, 0xfedfffff, 0xff000004, 0x7fffffff
ADD, RND_PLUS_INF, 0x8080007f, 0x7ffffffc, 0xb3fffff0, 0xb3fffff0
ADD, RND_PLUS_INF, 0xbeffff7f, 0xfffff000, 0xb3800008, 0xbeffff81
ADD, RND_MINUS_INF, 0x3ea00000, 0x338007ff, 0x7f880000, 0x7fffffff
ADD, RND_MINUS_INF, 0xbf81ffff, 0x807ffff7, 0x7e800080, 0x7e80007f
ADD, RND_ZERO, 0x4b80ffff, 0x33a00000, 0x4007ffff, 0x4b810000
ADD, RND_ZERO, 0x80800100, 0xff000080, 0xbe80003f, 0xbe80003f
ADD, RND_NEAREST, 0x809fffff, 0xff00000f, 0x80000000, 0x809fffff
ADD, RND_NEAREST, 0xff7bffff, 0xfe801000, 0x4bfffdff, 0xff7bffff
ADD, RND_MINUS_INF, 0xc0800004, 0x00fffeff, 0xbf77ffff, 0xc09f0004
ADD, RND_MINUS_INF, 0x33801fff, 0x33c00000, 0xcbfff800, 0xcbfff800
ADD, RND_MINUS_INF, 0xcb80000f, 0xffffffef, 0xff810000, 0x7fffffff
